Entry,Name,Processing condition,,Cluster Number (0 to 11),,Al,Cu,Mn,N,Ni,Ti,S,Fe,Zr,P,Si,V,Mo,Co,C,Nb,B,Cr,,(Ultimate) Tensile strength (MPa),Yield strength (MPa),Ductility (%),,Cluster Number,Cluster label
62,AISI 4140 Steel,"Oil Quenched, 540C (1000F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1140,965,18,,6,Quenched (oil) & tempered – high-strength structural steel
63,AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 100 mm (4 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,772,580,23,,6,Quenched (oil) & tempered – high-strength structural steel
64,AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,841,675,23,,6,Quenched (oil) & tempered – high-strength structural steel
65,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 315C (600F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1725,1572,11,,0,Carburized – quenched (oil) – wear-resistant surface steel
66,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 540C (1000F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.245,0,0.035,0.25,0,0.2,0,0.405,0,0,0.95,,1150,1050,17,,0,Carburized – quenched (oil) – wear-resistant surface steel
67,AISI 4140H Steel,"Oil Quenched 845C (1550F), Tempered 540C (1000F), 50 mm (2 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,965,800,17,,6,Quenched (oil) & tempered – high-strength structural steel
68,AISI 4140H Steel,"Normalized At 870C (1600F), Air Cooled, 25 mm (1 In.) Round",,4,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,1020,655,17,,4,Normalized (air cooled) – general-purpose steel
69,AISI 4140H Steel,"Oil Quenched, Tempered 205C (400F), 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,1795,1515,8,,6,Quenched (oil) & tempered – high-strength structural steel
70,AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 100 mm (4 In.) Round",,8,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,617,296,28,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
71,AISI 4118 Steel,"Double Quenched And Tempered, Carburized, 150C (300F) Temper",,5,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,869,440,21,,5,Carburized – quenched (oil) – wear-resistant surface steel (variant)
72,AISI 4140H Steel,Annealed 815C,,7,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,655,420,25,,7,Annealed – easy-to-machine – round annealed stock
73,AISI 4130H Steel,"Water Quenched 855C (1570F), 595C (1100F) Temper, 13 mm (0.5 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,917,841,20,,10,Quenched (water) & tempered – high-strength structural steel
74,AISI 4140 Steel,"Oil Quenched, 50 mm (2 In.) Round (845C (1550F) Quench, 650C (1200F) Temper)",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,841,675,23,,6,Quenched (oil) & tempered – high-strength structural steel
75,AISI 4130 Steel,"Normalized At 870C (1600F), Air Cooled, 50 mm (2 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.745,0,0.035,0.225,0,0.2,0,0.305,0,0,0.95,,615,415,28,,4,Normalized (air cooled) – general-purpose steel
76,AISI 4130H Steel,"Water Quenched 855C (1570F), 480C (900F) Temper, 50 mm (2 In.) Round",,10,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,917,758,19,,10,Quenched (water) & tempered – high-strength structural steel
77,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 480C (900F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.245,0,0.035,0.25,0,0.2,0,0.405,0,0,0.95,,1295,1205,16,,0,Carburized – quenched (oil) – wear-resistant surface steel
78,AISI 4140 Steel,"Oil Quenched, 100 mm (4 In.) Round (845C (1550F) Quench, 595C (1100F) Temper)",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,807,600,21,,6,Quenched (oil) & tempered – high-strength structural steel
79,AISI 4140 Steel,"Oil Quenched, 650C (1200F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,931,793,22,,6,Quenched (oil) & tempered – high-strength structural steel
80,AISI 4140H Steel,"Heat Treated, Tempered 480C (900F), 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,1295,1205,16,,0,Carburized – quenched (oil) – wear-resistant surface steel
81,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 650C (1200F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.245,0,0.035,0.25,0,0.2,0,0.405,0,0,0.95,,896,786,21,,0,Carburized – quenched (oil) – wear-resistant surface steel
82,AISI 4140H Steel,"Heat Treated, Tempered 425C (800F), 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,1450,1345,15,,0,Carburized – quenched (oil) – wear-resistant surface steel
83,AISI 4118 Steel,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 150C (300F) Temper, 14 mm (0.55 In.) Round",,8,,0,0,0.8,0,0,0,0.04,98.055,0,0.035,0.25,0,0.115,0,0.205,0,0,0.5,,986,645,17,,8,Carburized – quenched (oil) – wear-resistant surface steel (variant)
84,AISI 4130H Steel,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",,4,,0,0,0.5,0,0,0,0.04,97.7,0,0.035,0.25,0,0.2,0,0.3,0,0,0.975,,731,460,25,,4,Normalized (air cooled) – general-purpose steel
85,AISI 4140 Steel,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",,4,,0,0,0.875,0,0,0,0.04,97.27,0,0.035,0.225,0,0.2,0,0.405,0,0,0.95,,1020,675,17,,4,Normalized (air cooled) – general-purpose steel
86,AISI 4140 Steel,"Normalized At 870C (1600F), Reheated To 845C (1550F), Oil Quenched, 705C (1300F) Temper, 25 mm (1 In.) Round",,0,,0,0,0.875,0,0,0,0.04,97.245,0,0.035,0.25,0,0.2,0,0.405,0,0,0.95,,807,689,23,,0,Carburized – quenched (oil) – wear-resistant surface steel
87,AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,965,931,19,,6,Quenched (oil) & tempered – high-strength structural steel
88,AISI 4140H Steel,"Oil Quenched 845C (1550F), 595C (1100F) Temper, 50 mm (2 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,883,710,21,,6,Quenched (oil) & tempered – high-strength structural steel
89,AISI 4140H Steel,"Oil Quenched 845C (1550F), 650C (1200F) Temper, 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,917,841,21,,6,Quenched (oil) & tempered – high-strength structural steel
90,AISI 4140H Steel,"Oil Quenched 845C (1550F), Tempered 540C (1000F), 25 mm (1 In.) Round",,6,,0,0,0.875,0,0,0,0.04,97.22,0,0.035,0.225,0,0.225,0,0.405,0,0,0.975,,1075,986,15,,6,Quenched (oil) & tempered – high-strength structural steel
91,AISI 4023 Steel,"Normalized At 925C (1700F), Machined To 13.7 mm (0.540 In.) Rounds, Pseudocarburized At 925C (1700F) And Oil Quenched, 150C (300F) Temper",,0,,0,0,0.8,0,0,0,0.04,98.4,0,0.035,0.25,0,0.25,0,0.225,0,0,0,,1050,786,15,,0,Carburized – quenched (oil) – wear-resistant surface steel
